raw_speciesname_europe,fit.x,NCountries,nCountriesRLEur,RedListCategoryEurope,EuropeanEndemic,Endemic,EdgeOfRange,fit.y,nCountriesRLEU,NCountriesEU,RedListCategoryEU,HabitatsDirective
Spialia orbifer,13.69,16,16,LC,0,0,0,13.25,8,8,LC,0
Melitaea aetherie,13.68,3,3,LC,0,0,0,15.5,3,3,LC,0
Minois dryas,13.65,25,25,LC,0,0,0,14.05,14,14,LC,0
Boloria euphrosyne,13.6,39,39,LC,0,0,0,17.56,26,26,LC,0
Pieris mannii,13.4,23,23,LC,0,0,0,15.75,15,15,LC,0
Euchloe tagis,13.28,4,4,LC,0,0,0,13.67,4,4,LC,0
Melitaea phoebe,13.2,32,32,LC,0,0,0,19.08,20,20,LC,0
Heteropterus morpheus,13.09,27,27,LC,0,0,0,16.5,19,19,LC,0
Aricia nicias,13,9,9,LC,0,0,0,14.25,5,5,LC,0
Erebia epiphron,12.98,21,21,LC,EuropeanEndemic,0,0,12.22,13,13,LC,0
Nymphalis polychloros,12.83,37,37,LC,0,0,0,14.03,25,25,VU,0
Brenthis hecate,12.55,21,21,LC,0,0,0,17.12,14,14,LC,0
Boloria pales,12.44,18,18,LC,0,0,0,13.8,10,10,LC,0
Lasiommata petropolitana,12.33,28,28,LC,0,0,0,12.83,17,17,LC,0
Melitaea parthenoides,12.31,8,8,LC,EuropeanEndemic,0,0,12.14,6,6,LC,0
Cupido alcetas,12.24,23,23,LC,0,0,0,13.39,13,13,LC,0
Melitaea didyma,12.2,28,28,LC,0,0,0,12.09,17,17,LC,0
Pyrgus sidae,12.07,15,15,LC,0,0,0,9.73,7,7,LC,0
Carcharodus orientalis,11.99,11,11,LC,0,0,0,7,4,4,LC,0
Lycaena alciphron,11.98,29,29,LC,0,0,0,12.78,18,18,NT,0
Hipparchia semele,11.98,35,35,LC,EuropeanEndemic,0,0,17.2,25,25,LC,0
Erebia scipio,11.92,2,2,LC,EuropeanEndemic,0,0,10.5,2,2,LC,0
Cupido decoloratus,11.91,18,18,NT,0,0,0,12.07,9,9,LC,0
Erebia pronoe,11.9,19,19,LC,EuropeanEndemic,0,0,10.73,11,11,LC,0
Aricia artaxerxes,11.79,31,31,LC,0,0,0,13.81,20,20,LC,0
Cupido minimus,11.69,39,39,LC,0,0,0,13.47,26,26,LC,0
Erebia calcarius,11.63,3,3,LC,EuropeanEndemic,0,0,7.33,3,3,LC,II+IV
Euchloe ausonia,11.63,14,14,LC,0,0,0,9.56,6,6,LC,0
Eumedonia eumedon,11.38,33,33,LC,0,0,0,12.5,20,20,LC,0
Aporia crataegi,11.37,38,38,LC,0,0,0,11.13,26,26,LC,0
Erebia eriphyle,11.28,5,5,LC,EuropeanEndemic,0,0,10.5,3,3,LC,0
Hesperia comma,11.08,38,38,LC,0,0,0,12.94,25,25,LC,0
Plebejus idas,11.04,35,35,LC,0,0,0,15.86,22,22,LC,0
Erebia lefebvrei,11.02,3,3,LC,EuropeanEndemic,0,0,17,2,2,LC,0
Erebia epistygne,10.74,2,2,NT,EuropeanEndemic,0,0,10.5,2,2,NT,0
Satyrium w-album,10.61,37,37,LC,0,0,0,13.87,24,24,LC,0
Erebia pandrose,10.53,22,22,LC,0,0,0,13.39,12,12,LC,0
Hipparchia fatua,10.41,4,4,LC,0,0,0,8.25,2,2,LC,0
Hipparchia senthes,10.41,4,4,LC,0,0,0,8.25,2,2,LC,0
Coenonympha dorus,10.24,6,6,LC,0,0,0,24.6,4,4,LC,0
Lysandra bellargus,10.19,30,30,LC,0,0,0,10.71,18,18,LC,0
Euphydryas cynthia,10.16,7,7,LC,EuropeanEndemic,0,0,12.17,5,5,LC,0
Pyrgus andromedae,10.02,21,21,LC,EuropeanEndemic,0,0,14.71,10,10,LC,0
Erebia disa,10,4,4,LC,0,0,0,10.67,2,2,LC,0
Polyommatus daphnis,10,25,25,LC,0,0,0,11.1,15,15,LC,0
Polyommatus aroaniensis,9.92,4,4,LC,EuropeanEndemic,0,0,8.25,2,2,LC,0
Leptidea duponcheli,9.91,8,8,LC,0,0,0,10.57,3,3,LC,0
Melitaea athalia,9.84,35,35,LC,0,0,0,12.1,23,23,LC,0
Satyrium acaciae,9.5,25,25,LC,0,0,0,13.52,15,15,LC,0
Boloria selene,9.4,34,34,LC,0,0,0,11.97,25,25,LC,0
Satyrium pruni,9.4,32,32,LC,0,0,0,11.07,23,23,LC,0
Erebia meolans,9.27,8,8,LC,EuropeanEndemic,0,0,9.29,5,5,LC,0
Tarucus balkanicus,9.23,8,8,LC,0,0,0,12.17,4,4,LC,0
Pieris ergane,9.15,14,14,LC,0,0,0,8.25,9,9,LC,0
