"scientificName","taxonID","countryCode","establishmentMeans","source"
"Coenonympha hero","red-lists-european-butterflies-checklist:taxon:03dc6d6f3f08c9b0fad6860511acef6e","RU","Breeding","Iliashenko & Iliashenko (2000); Danilov-Danilian (2001)"
"Agriades orbitulus","red-lists-european-butterflies-checklist:taxon:047169688695b7c93c5dddc33442bda5","NO","Breeding","Henriksen & Hilmo (2015)"
"Agriades orbitulus","red-lists-european-butterflies-checklist:taxon:047169688695b7c93c5dddc33442bda5","RU","Breeding","Iliashenko & Iliashenko (2000); Danilov-Danilian (2001)"
"Agriades orbitulus","red-lists-european-butterflies-checklist:taxon:047169688695b7c93c5dddc33442bda5","FR","Breeding","UICN France (2012)"
"Agriades orbitulus","red-lists-european-butterflies-checklist:taxon:047169688695b7c93c5dddc33442bda5","IT","Breeding","Bonelli et al. (in press)"
"Agriades orbitulus","red-lists-european-butterflies-checklist:taxon:047169688695b7c93c5dddc33442bda5","LI","Breeding",
"Agriades orbitulus","red-lists-european-butterflies-checklist:taxon:047169688695b7c93c5dddc33442bda5","CH","Breeding","Wermeille et al. (2014)"
"Agriades orbitulus","red-lists-european-butterflies-checklist:taxon:047169688695b7c93c5dddc33442bda5","DE","Breeding","Reinhardt & Bolz (2011)"
"Agriades orbitulus","red-lists-european-butterflies-checklist:taxon:047169688695b7c93c5dddc33442bda5","SE","Breeding","Ahrné et al. (2015)"
"Agriades orbitulus","red-lists-european-butterflies-checklist:taxon:047169688695b7c93c5dddc33442bda5","AT","Breeding","Zulka et al. 2003; Höttinger and Pennerstorfer (2005)"
"Agriades orbitulus","red-lists-european-butterflies-checklist:taxon:047169688695b7c93c5dddc33442bda5","SI","Breeding","Anonymous (2002); Verovnik et al. (2012)"
"Coenonympha thyrsis","red-lists-european-butterflies-checklist:taxon:04883a3b4208ba98739ebd45de2182c3","GR","Breeding","Pamperis (2009); Legakis and Maragou (2009)"
"Aricia agestis","red-lists-european-butterflies-checklist:taxon:0540dcf40627e9dbdbdce9af5eb0f517","BA","Breeding","Ðug (2013)"
"Aricia agestis","red-lists-european-butterflies-checklist:taxon:0540dcf40627e9dbdbdce9af5eb0f517","BE","Breeding","Fichefet et al. (2008); Maes et al. (2012)"
"Aricia agestis","red-lists-european-butterflies-checklist:taxon:0540dcf40627e9dbdbdce9af5eb0f517","BG","Breeding","Hristova and Beshkov (2017)"
"Aricia agestis","red-lists-european-butterflies-checklist:taxon:0540dcf40627e9dbdbdce9af5eb0f517","CH","Breeding","Wermeille et al. (2014)"
"Aricia agestis","red-lists-european-butterflies-checklist:taxon:0540dcf40627e9dbdbdce9af5eb0f517","DE","Breeding","Reinhardt & Bolz (2011)"
"Aricia agestis","red-lists-european-butterflies-checklist:taxon:0540dcf40627e9dbdbdce9af5eb0f517","DK","Breeding","Wind & Phil (2004)"
"Aricia agestis","red-lists-european-butterflies-checklist:taxon:0540dcf40627e9dbdbdce9af5eb0f517","FR","Breeding","UICN France (2012)"
"Aricia agestis","red-lists-european-butterflies-checklist:taxon:0540dcf40627e9dbdbdce9af5eb0f517","GB","Breeding","Fox et al. (2011)"
"Aricia agestis","red-lists-european-butterflies-checklist:taxon:0540dcf40627e9dbdbdce9af5eb0f517","GR","Breeding","Pamperis (2009); Legakis and Maragou (2009)"
"Aricia agestis","red-lists-european-butterflies-checklist:taxon:0540dcf40627e9dbdbdce9af5eb0f517","HR","Breeding","Šašic et al. (2015a)"
"Aricia agestis","red-lists-european-butterflies-checklist:taxon:0540dcf40627e9dbdbdce9af5eb0f517","HU","Breeding","Ádám Korösi & Ádám Gór (pers. comm.)"
"Aricia agestis","red-lists-european-butterflies-checklist:taxon:0540dcf40627e9dbdbdce9af5eb0f517","IT","Breeding","Bonelli et al. (in press)"
"Aricia agestis","red-lists-european-butterflies-checklist:taxon:0540dcf40627e9dbdbdce9af5eb0f517","LT","Breeding","Rašomavicius (2007)"
"Aricia agestis","red-lists-european-butterflies-checklist:taxon:0540dcf40627e9dbdbdce9af5eb0f517","LU","Breeding","Mestdagh et al. (2018)"
