"raw_speciesname_local","raw_speciesname_europe","taxonID","language","license","rightsHolder","datasetID","datasetName","nomenclaturalCode"
"Hipparchia cretica","Hipparchia cretica","species-lists-red-list-butterflies:taxon:183023b435bff099e66e91f31fea6548","en","http://creativecommons.org/publicdomain/zero/1.0/","INBO","to_be_completed","Red Lists Butterflies Europe_EU","ICZN"
"Nymphalis xanthomelas","Nymphalis xanthomelas","species-lists-red-list-butterflies:taxon:18ad7ddd0d297dbe969cbda5b0e526a2","en","http://creativecommons.org/publicdomain/zero/1.0/","INBO","to_be_completed","Red Lists Butterflies Europe_EU","ICZN"
"Aricia morronensis","Aricia morronensis","species-lists-red-list-butterflies:taxon:1986ed88b63a4fb1065ed824407f7848","en","http://creativecommons.org/publicdomain/zero/1.0/","INBO","to_be_completed","Red Lists Butterflies Europe_EU","ICZN"
"Pieris rapae","Pieris rapae","species-lists-red-list-butterflies:taxon:1a35102f4838db1ca2d6b7c83cc45954","en","http://creativecommons.org/publicdomain/zero/1.0/","INBO","to_be_completed","Red Lists Butterflies Europe_EU","ICZN"
"Colias hecla","Colias hecla","species-lists-red-list-butterflies:taxon:1a48551081bc51d9b5f96f925e249857","en","http://creativecommons.org/publicdomain/zero/1.0/","INBO","to_be_completed","Red Lists Butterflies Europe_EU","ICZN"
"Erebia epiphron","Erebia epiphron","species-lists-red-list-butterflies:taxon:1a4f66605d1181435aed04b589848b20","en","http://creativecommons.org/publicdomain/zero/1.0/","INBO","to_be_completed","Red Lists Butterflies Europe_EU","ICZN"
"Euchloe penia","Euchloe penia","species-lists-red-list-butterflies:taxon:1b1861e8c175987397db626bc5684de0","en","http://creativecommons.org/publicdomain/zero/1.0/","INBO","to_be_completed","Red Lists Butterflies Europe_EU","ICZN"
"Anthocaris euphenoides","Anthocharis euphenoides","species-lists-red-list-butterflies:taxon:1be1fed97ea2529ab9042d02798f242f","en","http://creativecommons.org/publicdomain/zero/1.0/","INBO","to_be_completed","Red Lists Butterflies Europe_EU","ICZN"
"Melanargia lachesis","Melanargia lachesis","species-lists-red-list-butterflies:taxon:1be7f0f8773a7f86832f8b8c7e8a0dda","en","http://creativecommons.org/publicdomain/zero/1.0/","INBO","to_be_completed","Red Lists Butterflies Europe_EU","ICZN"
"Hipparchia bacchus","Hipparchia bacchus","species-lists-red-list-butterflies:taxon:1cdf003cf49fdaa961501a4e71f29801","en","http://creativecommons.org/publicdomain/zero/1.0/","INBO","to_be_completed","Red Lists Butterflies Europe_EU","ICZN"
"Muschampia cribrellum","Muschampia cribrellum","species-lists-red-list-butterflies:taxon:1e04a07eb2c2a6390126e1053f01b4bf","en","http://creativecommons.org/publicdomain/zero/1.0/","INBO","to_be_completed","Red Lists Butterflies Europe_EU","ICZN"
"Thymelicus acteon","Thymelicus acteon","species-lists-red-list-butterflies:taxon:1e5a990ca8507ca8e77d9557959e4626","en","http://creativecommons.org/publicdomain/zero/1.0/","INBO","to_be_completed","Red Lists Butterflies Europe_EU","ICZN"
"Limenitis camilla","Limenitis camilla","species-lists-red-list-butterflies:taxon:1e719fb81465d13618872fcaa083ad2a","en","http://creativecommons.org/publicdomain/zero/1.0/","INBO","to_be_completed","Red Lists Butterflies Europe_EU","ICZN"
"Papilio alexanor","Papilio alexanor","species-lists-red-list-butterflies:taxon:1ebf8618a5b1edd74ee7c39de54d9873","en","http://creativecommons.org/publicdomain/zero/1.0/","INBO","to_be_completed","Red Lists Butterflies Europe_EU","ICZN"
"Brintesia circe","Brintesia circe","species-lists-red-list-butterflies:taxon:1ff7bd3fb0b7c7d8a301cd4382ab46b3","en","http://creativecommons.org/publicdomain/zero/1.0/","INBO","to_be_completed","Red Lists Butterflies Europe_EU","ICZN"
"Callophrys avis","Callophrys avis","species-lists-red-list-butterflies:taxon:207f5ac5d65c5bc241badb7415f374ef","en","http://creativecommons.org/publicdomain/zero/1.0/","INBO","to_be_completed","Red Lists Butterflies Europe_EU","ICZN"
"Oeneis glacialis","Oeneis glacialis","species-lists-red-list-butterflies:taxon:20bf1340e5c6d8db41e96e7bde12e4b2","en","http://creativecommons.org/publicdomain/zero/1.0/","INBO","to_be_completed","Red Lists Butterflies Europe_EU","ICZN"
"Lysandra albicans","Lysandra albicans","species-lists-red-list-butterflies:taxon:21647e40c1fc022485f3ac2eab0ef6cf","en","http://creativecommons.org/publicdomain/zero/1.0/","INBO","to_be_completed","Red Lists Butterflies Europe_EU","ICZN"
"Erebia (pandrose) sthennyo","Erebia sthennyo","species-lists-red-list-butterflies:taxon:21d76ddf9a1dd196d0c712d25d8724ed","en","http://creativecommons.org/publicdomain/zero/1.0/","INBO","to_be_completed","Red Lists Butterflies Europe_EU","ICZN"
"Pseudochazara orestes","Pseudochazara orestes","species-lists-red-list-butterflies:taxon:2204604c2acc8d44f4451fd602d3a654","en","http://creativecommons.org/publicdomain/zero/1.0/","INBO","to_be_completed","Red Lists Butterflies Europe_EU","ICZN"
"Hipparchia autonoe","Hipparchia autonoe","species-lists-red-list-butterflies:taxon:2215a48b18f41e91bd7f9a71cbb25084","en","http://creativecommons.org/publicdomain/zero/1.0/","INBO","to_be_completed","Red Lists Butterflies Europe_EU","ICZN"
"Neolycaena rhymnus","Neolycaena rhymnus","species-lists-red-list-butterflies:taxon:22bb89532a2c301cd97bf978f0d278c3","en","http://creativecommons.org/publicdomain/zero/1.0/","INBO","to_be_completed","Red Lists Butterflies Europe_EU","ICZN"
"Pseudophilotes barbagiae","Pseudophilotes barbagiae","species-lists-red-list-butterflies:taxon:235cb45e96d05c8695cf1c00f1311d17","en","http://creativecommons.org/publicdomain/zero/1.0/","INBO","to_be_completed","Red Lists Butterflies Europe_EU","ICZN"
"Apharitis acamas","Cigaritis acamas","species-lists-red-list-butterflies:taxon:23a60c5a73ae8ce6cda8b79581b48495","en","http://creativecommons.org/publicdomain/zero/1.0/","INBO","to_be_completed","Red Lists Butterflies Europe_EU","ICZN"
"Agriades optilete","Agriades optilete","species-lists-red-list-butterflies:taxon:2423374daa25a1852b2e4c13429f7241","en","http://creativecommons.org/publicdomain/zero/1.0/","INBO","to_be_completed","Red Lists Butterflies Europe_EU","ICZN"
"Euchloe tagis","Euchloe tagis","species-lists-red-list-butterflies:taxon:26a7444395dec1ef802daa6784fa802c","en","http://creativecommons.org/publicdomain/zero/1.0/","INBO","to_be_completed","Red Lists Butterflies Europe_EU","ICZN"
"Pseudochazara cingovskii","Pseudochazara cingovskii","species-lists-red-list-butterflies:taxon:26d2b7556934659886a8581d2763a419","en","http://creativecommons.org/publicdomain/zero/1.0/","INBO","to_be_completed","Red Lists Butterflies Europe_EU","ICZN"
"Cyaniris semiargus","Cyaniris semiargus","species-lists-red-list-butterflies:taxon:27b7f62f8bdaf918a10972ef9ea6c60d","en","http://creativecommons.org/publicdomain/zero/1.0/","INBO","to_be_completed","Red Lists Butterflies Europe_EU","ICZN"
"Melitaea diamina","Melitaea diamina","species-lists-red-list-butterflies:taxon:27c4617cb4725d4d50d4543b7dc26004","en","http://creativecommons.org/publicdomain/zero/1.0/","INBO","to_be_completed","Red Lists Butterflies Europe_EU","ICZN"
"Boloria graeca","Boloria graeca","species-lists-red-list-butterflies:taxon:2856a607ef10d2c995f12d14d5140d48","en","http://creativecommons.org/publicdomain/zero/1.0/","INBO","to_be_completed","Red Lists Butterflies Europe_EU","ICZN"
"Turanana taygetica","Turanana taygetica","species-lists-red-list-butterflies:taxon:2896725d078d99cdea60d85bcb447915","en","http://creativecommons.org/publicdomain/zero/1.0/","INBO","to_be_completed","Red Lists Butterflies Europe_EU","ICZN"
"Vanessa atalanta","Vanessa atalanta","species-lists-red-list-butterflies:taxon:28d1dd087442aa7dbc71a19023cf98ed","en","http://creativecommons.org/publicdomain/zero/1.0/","INBO","to_be_completed","Red Lists Butterflies Europe_EU","ICZN"
"Tarucus theophrastus","Tarucus theophrastus","species-lists-red-list-butterflies:taxon:29508697ae3b772edae7047a96f57d29","en","http://creativecommons.org/publicdomain/zero/1.0/","INBO","to_be_completed","Red Lists Butterflies Europe_EU","ICZN"
"Zerynthia polyxena","Zerynthia polyxena","species-lists-red-list-butterflies:taxon:2ab0f637a5af65b09535f62424f07f2f","en","http://creativecommons.org/publicdomain/zero/1.0/","INBO","to_be_completed","Red Lists Butterflies Europe_EU","ICZN"
"Hipparchia tilosi","Hipparchia tilosi","species-lists-red-list-butterflies:taxon:2abd07305d981f95a08527a1d4146736","en","http://creativecommons.org/publicdomain/zero/1.0/","INBO","to_be_completed","Red Lists Butterflies Europe_EU","ICZN"
"Borbo borbonica","Borbo borbonica","species-lists-red-list-butterflies:taxon:2b454e28b9934d71027c57073dd67403","en","http://creativecommons.org/publicdomain/zero/1.0/","INBO","to_be_completed","Red Lists Butterflies Europe_EU","ICZN"
