"raw_speciesname_local","scientificName","taxonID","raw_use","references","raw_reference_red_list","raw_country","language","license","rightsHolder","datasetID","datasetName","nomenclaturalCode","kingdom","class","order"
"Pyrgus onopordi","Pyrgus onopordi","red-lists-european-butterflies-checklist:taxon:4575689fedfda14afd899e6030dd6ce5","y","Sonderegger (2005); SwissLepTeam (2010); Wermeille et al. (2014)","Wermeille et al. (2014)","Switzerland","en","http://creativecommons.org/publicdomain/zero/1.0/","INBO","to_be_completed","red-lists-european-butterflies-checklist","ICZN","Animalia","Insecta","Lepidoptera"
"Euphydryas cynthia","Euphydryas cynthia","red-lists-european-butterflies-checklist:taxon:46d37db359b8dbd9d91d8fdf92dbd232","y","Huemer (2013); Huemer & Wiesmair (2017)","Zulka et al. 2003; Höttinger and Pennerstorfer (2005)","Austria","en","http://creativecommons.org/publicdomain/zero/1.0/","INBO","to_be_completed","red-lists-european-butterflies-checklist","ICZN","Animalia","Insecta","Lepidoptera"
"Pseudochazara amalthea","Pseudochazara amalthea","red-lists-european-butterflies-checklist:taxon:4729bb0a4e2c51b7b8776c9a297e9b64","y","Langourov and Simov (2014); Kolev (2017); Kolev and Tsvetanov (2018)","Hristova and Beshkov (2017)","Bulgaria","en","http://creativecommons.org/publicdomain/zero/1.0/","INBO","to_be_completed","red-lists-european-butterflies-checklist","ICZN","Animalia","Insecta","Lepidoptera"
"Pseudochazara graeca","Pseudochazara graeca","red-lists-european-butterflies-checklist:taxon:477d7d3591c120562e8ffbdd7c6a1aa2","y","Pamperis (2009)","Pamperis (2009); Legakis and Maragou (2009)","Greece","en","http://creativecommons.org/publicdomain/zero/1.0/","INBO","to_be_completed","red-lists-european-butterflies-checklist","ICZN","Animalia","Insecta","Lepidoptera"
"Erebia ottomana","Erebia ottomana","red-lists-european-butterflies-checklist:taxon:48044eb56ea655482c15f98662933e14","y","Koren and Kulijer (2016); Lelo (2016)","Ðug (2013)","Bosnia and Herzegovina","en","http://creativecommons.org/publicdomain/zero/1.0/","INBO","to_be_completed","red-lists-european-butterflies-checklist","ICZN","Animalia","Insecta","Lepidoptera"
"Spialia rosae","Spialia rosae","red-lists-european-butterflies-checklist:taxon:489f746c09b9e85d1bf789a8def1609d","y","Garcia-Barros et al. (2004); Monasterio León et al. (2017)","Verdú & Galante (2009); Verdú et al. (2011)","Spain","en","http://creativecommons.org/publicdomain/zero/1.0/","INBO","to_be_completed","red-lists-european-butterflies-checklist","ICZN","Animalia","Insecta","Lepidoptera"
"Issoria lathonia","Issoria lathonia","red-lists-european-butterflies-checklist:taxon:490fa7dc6de032570009571be8f9b035","y","Dantart & Jubany (2012)","Dantart & Jubany (2012)","Andorra","en","http://creativecommons.org/publicdomain/zero/1.0/","INBO","to_be_completed","red-lists-european-butterflies-checklist","ICZN","Animalia","Insecta","Lepidoptera"
"Erebia calcaria","Erebia calcarius","red-lists-european-butterflies-checklist:taxon:4a323a5326fb97ba50a3887972144edb","y","Huemer (2013); Huemer & Wiesmair (2017)","Zulka et al. 2003; Höttinger and Pennerstorfer (2005)","Austria","en","http://creativecommons.org/publicdomain/zero/1.0/","INBO","to_be_completed","red-lists-european-butterflies-checklist","ICZN","Animalia","Insecta","Lepidoptera"
"Hipparchia blachieri","Hipparchia blachieri","red-lists-european-butterflies-checklist:taxon:4acb3729de1079d53d0c7aca26ae947e","y","Balletto et al. (2014)","Bonelli et al. (in press)","Italy","en","http://creativecommons.org/publicdomain/zero/1.0/","INBO","to_be_completed","red-lists-european-butterflies-checklist","ICZN","Animalia","Insecta","Lepidoptera"
"Erebia stiria","Erebia stiria","red-lists-european-butterflies-checklist:taxon:4b1f0cb6a6e8996ce225d29047f2cb77","y","Šašic and Mihoci (2011); Šašic et al. (2015a)","Šašic et al. (2015a)","Croatia","en","http://creativecommons.org/publicdomain/zero/1.0/","INBO","to_be_completed","red-lists-european-butterflies-checklist","ICZN","Animalia","Insecta","Lepidoptera"
"Tongeia fischeri","Tongeia fischeri","red-lists-european-butterflies-checklist:taxon:4bcf3427480be3ac16da7b35aeb0fb2d","y","Tshikolovets (2011); Tuzov (1997); Tuzov (2000); Verovnik (pers. comm.); Tatarinov and Gorbunov (2014)","Iliashenko & Iliashenko (2000); Danilov-Danilian (2001)","Russia","en","http://creativecommons.org/publicdomain/zero/1.0/","INBO","to_be_completed","red-lists-european-butterflies-checklist","ICZN","Animalia","Insecta","Lepidoptera"
"Pyrgus andromedae","Pyrgus andromedae","red-lists-european-butterflies-checklist:taxon:4c11f03f10a38bb741ef98b718645ae1","y","Székely (2008); Dinca (2017)","Rakosy (2002)","Romania","en","http://creativecommons.org/publicdomain/zero/1.0/","INBO","to_be_completed","red-lists-european-butterflies-checklist","ICZN","Animalia","Insecta","Lepidoptera"
"Coenonympha rhodopensis","Coenonympha rhodopensis","red-lists-european-butterflies-checklist:taxon:4c8bb8fba281dcde0c4c3a07ac32bde3","y","Koren and Kulijer (2016); Lelo (2016)","Ðug (2013)","Bosnia and Herzegovina","en","http://creativecommons.org/publicdomain/zero/1.0/","INBO","to_be_completed","red-lists-european-butterflies-checklist","ICZN","Animalia","Insecta","Lepidoptera"
"Boloria aquilonaris","Boloria aquilonaris","red-lists-european-butterflies-checklist:taxon:4cd155ba5d19626ef085284c2ae91b98","y","Kuchlein and de Vos (1999); van Swaay (2018)","Bos et al. (2006)","Netherlands","en","http://creativecommons.org/publicdomain/zero/1.0/","INBO","to_be_completed","red-lists-european-butterflies-checklist","ICZN","Animalia","Insecta","Lepidoptera"
"Chazara persephone","Chazara persephone","red-lists-european-butterflies-checklist:taxon:4e926317915921e55819f05f84e8d03c","y","Tshikolovets (2011); Tuzov (1997); Tuzov (2000); Verovnik (pers. comm.); Tatarinov and Gorbunov (2014)","Iliashenko & Iliashenko (2000); Danilov-Danilian (2001)","Russia","en","http://creativecommons.org/publicdomain/zero/1.0/","INBO","to_be_completed","red-lists-european-butterflies-checklist","ICZN","Animalia","Insecta","Lepidoptera"
"Boloria eunomia","Boloria eunomia","red-lists-european-butterflies-checklist:taxon:4f5f03bf3fd0b312b312bad9f039f611","y","Huemer (2013); Huemer & Wiesmair (2017)","Zulka et al. 2003; Höttinger and Pennerstorfer (2005)","Austria","en","http://creativecommons.org/publicdomain/zero/1.0/","INBO","to_be_completed","red-lists-european-butterflies-checklist","ICZN","Animalia","Insecta","Lepidoptera"
"Erebia aethiops","Erebia aethiops","red-lists-european-butterflies-checklist:taxon:4f7a7707f4c038ebb874d072b5873be9","y","Fichefet et al. (2008); Maes et al. (2012)","Fichefet et al. (2008); Maes et al. (2012)","Belgium","en","http://creativecommons.org/publicdomain/zero/1.0/","INBO","to_be_completed","red-lists-european-butterflies-checklist","ICZN","Animalia","Insecta","Lepidoptera"
"Vanessa vulcania","Vanessa vulcania","red-lists-european-butterflies-checklist:taxon:4fae99015858d7d87bab0456cb357a13","y","Tennent (2005); Báez and Oromí (2010); Wiemers (pers. comm.)",,"Macaronesia_CanaryIslands","en","http://creativecommons.org/publicdomain/zero/1.0/","INBO","to_be_completed","red-lists-european-butterflies-checklist","ICZN","Animalia","Insecta","Lepidoptera"
"Zegris pyrothoe","Zegris pyrothoe","red-lists-european-butterflies-checklist:taxon:4ffb2b8846260495a6fec56eb4f68c51","y","Tshikolovets (2011); Tuzov (1997); Tuzov (2000); Verovnik (pers. comm.); Tatarinov and Gorbunov (2014)","Iliashenko & Iliashenko (2000); Danilov-Danilian (2001)","Russia","en","http://creativecommons.org/publicdomain/zero/1.0/","INBO","to_be_completed","red-lists-european-butterflies-checklist","ICZN","Animalia","Insecta","Lepidoptera"
"Pyrgus cacaliae","Pyrgus cacaliae","red-lists-european-butterflies-checklist:taxon:502dafb968fed420a22386d23250355a","y","Dantart & Jubany (2012)","Dantart & Jubany (2012)","Andorra","en","http://creativecommons.org/publicdomain/zero/1.0/","INBO","to_be_completed","red-lists-european-butterflies-checklist","ICZN","Animalia","Insecta","Lepidoptera"
"Euchloe bazae","Euchloe bazae","red-lists-european-butterflies-checklist:taxon:513608c910b3ec0515b063872a687870","y","Garcia-Barros et al. (2004); Monasterio León et al. (2017)","Verdú & Galante (2009); Verdú et al. (2011)","Spain","en","http://creativecommons.org/publicdomain/zero/1.0/","INBO","to_be_completed","red-lists-european-butterflies-checklist","ICZN","Animalia","Insecta","Lepidoptera"
"Polyommatus nivescens","Polyommatus nivescens","red-lists-european-butterflies-checklist:taxon:51721eadaf3ca01883f7795be997166f","y","Garcia-Barros et al. (2004); Monasterio León et al. (2017)","Verdú & Galante (2009); Verdú et al. (2011)","Spain","en","http://creativecommons.org/publicdomain/zero/1.0/","INBO","to_be_completed","red-lists-european-butterflies-checklist","ICZN","Animalia","Insecta","Lepidoptera"
"Euchloe simplonia","Euchloe simplonia","red-lists-european-butterflies-checklist:taxon:523512c81d86d86fa6243282cc5eddee","y","Lafranchis et al. (2015)","UICN France (2012)","France","en","http://creativecommons.org/publicdomain/zero/1.0/","INBO","to_be_completed","red-lists-european-butterflies-checklist","ICZN","Animalia","Insecta","Lepidoptera"
"Cupido argiades","Cupido argiades","red-lists-european-butterflies-checklist:taxon:525cf32792f29779b79c3a0ea1c69714","y","Huemer (2013); Huemer & Wiesmair (2017)","Zulka et al. 2003; Höttinger and Pennerstorfer (2005)","Austria","en","http://creativecommons.org/publicdomain/zero/1.0/","INBO","to_be_completed","red-lists-european-butterflies-checklist","ICZN","Animalia","Insecta","Lepidoptera"
"Euchloe charlonia","Euchloe charlonia","red-lists-european-butterflies-checklist:taxon:52ad116754c5b853089797fe98ae6b4f","y","Tennent (2005); Báez and Oromí (2010); Wiemers (pers. comm.)",,"Macaronesia_CanaryIslands","en","http://creativecommons.org/publicdomain/zero/1.0/","INBO","to_be_completed","red-lists-european-butterflies-checklist","ICZN","Animalia","Insecta","Lepidoptera"
"Hipparchia statilinus","Hipparchia statilinus","red-lists-european-butterflies-checklist:taxon:52e7122d436b77753f4cb1de4c92fe56","y","Huemer (2013); Huemer & Wiesmair (2017)","Zulka et al. 2003; Höttinger and Pennerstorfer (2005)","Austria","en","http://creativecommons.org/publicdomain/zero/1.0/","INBO","to_be_completed","red-lists-european-butterflies-checklist","ICZN","Animalia","Insecta","Lepidoptera"
"Thymelicus hyrax","Thymelicus hyrax","red-lists-european-butterflies-checklist:taxon:52f3d7b283b441835bde257c843bc06f","y","Pamperis (2009)","Pamperis (2009); Legakis and Maragou (2009)","Greece","en","http://creativecommons.org/publicdomain/zero/1.0/","INBO","to_be_completed","red-lists-european-butterflies-checklist","ICZN","Animalia","Insecta","Lepidoptera"
"Melitaea britomartis","Melitaea britomartis","red-lists-european-butterflies-checklist:taxon:5344f716c7d2de2e029ce26bb423a09e","y","Sonderegger (2005); SwissLepTeam (2010); Wermeille et al. (2014)","Wermeille et al. (2014)","Switzerland","en","http://creativecommons.org/publicdomain/zero/1.0/","INBO","to_be_completed","red-lists-european-butterflies-checklist","ICZN","Animalia","Insecta","Lepidoptera"
"Euphydryas desfontainii","Euphydryas desfontainii","red-lists-european-butterflies-checklist:taxon:537c05ea6d588669ba82d72f151d84b7","y","Garcia-Barros et al. (2004); Monasterio León et al. (2017)","Verdú & Galante (2009); Verdú et al. (2011)","Spain","en","http://creativecommons.org/publicdomain/zero/1.0/","INBO","to_be_completed","red-lists-european-butterflies-checklist","ICZN","Animalia","Insecta","Lepidoptera"
