scientific_name,status,endemic,rlc,rlc_numeric,rlc_eur,rlc_eu27,country_code,country_name,part_of_eu,area
Erebia albergana,P,,LC,1,LC,LC,IT,Italy,y,301318
Erebia albergana,P,,NRLA,,LC,LC,ME,Montenegro,,13812
Erebia albergana,P,,Unknown,1,LC,LC,MK,North Macedonia,,25713
Erebia albergana,P,,NT,20,LC,LC,RS,Serbia,,88361
Erebia arvernensis,P,,LC,1,,,AD,Andorra,,468
Erebia arvernensis,P,,Unknown,1,,,CH,Switzerland,,41290
Erebia arvernensis,P,,NE,,,,ES,Spain,y,498468
Erebia arvernensis,P,,Unknown,1,,,FR,France,y,551394
Erebia arvernensis,P,,LC,1,,,IT,Italy,y,301318
Erebia calcarius,P,,DD,1,LC,LC,AT,Austria,y,83858
Erebia calcarius,P,,NT,20,LC,LC,IT,Italy,y,301318
Erebia calcarius,P,,LC,1,LC,LC,SI,Slovenia,y,20273
Erebia callias,P,,NRLA,,,,RU,Russia,,3972400
Erebia cassioides,P,,LC,1,LC,LC,AT,Austria,y,83858
Erebia cassioides,P,,LC,1,LC,LC,IT,Italy,y,301318
Erebia christi,P,,VU,30,VU,VU,CH,Switzerland,,41290
Erebia christi,P,,EN,50,VU,VU,IT,Italy,y,301318
Erebia claudina,P,,NT,20,NT,NT,AT,Austria,y,83858
Erebia claudina,P,,NtA,,NT,NT,IT,Italy,y,301318
Erebia cyclopius,P,,NRLA,,,,RU,Russia,,3972400
Erebia dabanensis,P,,NRLA,,,,RU,Russia,,3972400
Erebia disa,P,,VU,30,LC,LC,FI,Finland,y,338145
Erebia disa,P,,LC,1,LC,LC,NO,Norway,,385178
Erebia disa,P,,NRLA,,LC,LC,RU,Russia,,3972400
Erebia disa,P,,LC,1,LC,LC,SE,Sweden,y,449964
Erebia discoidalis,P,,NRLA,,LC,,RU,Russia,,3972400
Erebia edda,P,,NRLA,,,,RU,Russia,,3972400
Erebia embla,P,,EN,,LC,LC,EE,Estonia,y,45339
Erebia embla,P,,LC,1,LC,LC,FI,Finland,y,338145
Erebia embla,P,,NRLA,,LC,LC,LV,Latvia,y,64589
Erebia embla,P,,LC,1,LC,LC,NO,Norway,,385178
Erebia embla,P,,NRLA,,LC,LC,RU,Russia,,3972400
Erebia embla,P,,LC,1,LC,LC,SE,Sweden,y,449964
Erebia epiphron,P,,LC,1,LC,LC,AD,Andorra,,468
Erebia epiphron,P,,Unknown,1,LC,LC,AL,Albania,,28748
Erebia epiphron,P,,NT,20,LC,LC,AT,Austria,y,83858
Erebia epiphron,P,,LC,1,LC,LC,BA,Bosnia and Herzegovina,,51129
Erebia epiphron,P,,LC,1,LC,LC,CH,Switzerland,,41290
Erebia epiphron,P,,NE,,LC,LC,CZ,Czech Republic,y,78866
Erebia epiphron,P,,R,20,LC,LC,DE,Germany,y,357168
Erebia epiphron,P,,NE,,LC,LC,ES,Spain,y,498468
