"usageKey","scientificName","rank","order","matchType","phylum","kingdom","genus","class","confidence","synonym","status","family","scientificNameLocal","scientificNameEU","license","rightsHolder","accessRights","datasetName","occurrencestatus","language","datasetID","kingdom1","phylum1","class1","taxonID"
1933095,"Aricia agestis (Denis & Schiffermuller, 1775)","SPECIES","Lepidoptera","EXACT","Arthropoda","Animalia","Aricia","Insecta",98,FALSE,"ACCEPTED","Lycaenidae","Aricia agestis","Aricia agestis","http://creativecommons.org/publicdomain/zero/1.0/","INBO","http://www.inbo.be/en/norms-for-data-use","Butterfly Species List Europe","present","EN","DOI","Animalia","Artropoda","Insecta","1933095:c9c6bffda55e759c2db0621fc6d84847"
9195563,"Aricia anteros (Freyer, 1838)","SPECIES","Lepidoptera","EXACT","Arthropoda","Animalia","Aricia","Insecta",98,FALSE,"ACCEPTED","Lycaenidae","Aricia anteros","Aricia anteros","http://creativecommons.org/publicdomain/zero/1.0/","INBO","http://www.inbo.be/en/norms-for-data-use","Butterfly Species List Europe","present","EN","DOI","Animalia","Artropoda","Insecta","9195563:31a9ad434d90188a60e1eeab79bee3c4"
1933138,"Aricia artaxerxes (Fabricius, 1793)","SPECIES","Lepidoptera","EXACT","Arthropoda","Animalia","Aricia","Insecta",98,FALSE,"ACCEPTED","Lycaenidae","Aricia artaxerxes","Aricia artaxerxes","http://creativecommons.org/publicdomain/zero/1.0/","INBO","http://www.inbo.be/en/norms-for-data-use","Butterfly Species List Europe","present","EN","DOI","Animalia","Artropoda","Insecta","1933138:b45dc387a2aba77a7514c0f0a5e82041"
1933204,"Aricia cramera Eschscholtz, 1821","SPECIES","Lepidoptera","EXACT","Arthropoda","Animalia","Aricia","Insecta",98,FALSE,"ACCEPTED","Lycaenidae","Aricia cramera","Aricia cramera","http://creativecommons.org/publicdomain/zero/1.0/","INBO","http://www.inbo.be/en/norms-for-data-use","Butterfly Species List Europe","present","EN","DOI","Animalia","Artropoda","Insecta","1933204:fc68cc52754e0a8ff5565541c4df65c0"
8356016,"Aricia eumedon (Esper, 1780)","SPECIES","Lepidoptera","EXACT","Arthropoda","Animalia","Aricia","Insecta",98,FALSE,"ACCEPTED","Lycaenidae","Aricia eumedon","Eumedonia eumedon","http://creativecommons.org/publicdomain/zero/1.0/","INBO","http://www.inbo.be/en/norms-for-data-use","Butterfly Species List Europe","present","EN","DOI","Animalia","Artropoda","Insecta","8356016:1af68b8cddfb6378ce367a8a94975988"
1933126,"Aricia montensis Verity, 1928","SPECIES","Lepidoptera","EXACT","Arthropoda","Animalia","Aricia","Insecta",98,FALSE,"ACCEPTED","Lycaenidae","Aricia montensis","Aricia montensis","http://creativecommons.org/publicdomain/zero/1.0/","INBO","http://www.inbo.be/en/norms-for-data-use","Butterfly Species List Europe","present","EN","DOI","Animalia","Artropoda","Insecta","1933126:d8bce3ebcdb919df49ed276884f42ef9"
1933163,"Aricia morronensis Ribbe, 1910","SPECIES","Lepidoptera","EXACT","Arthropoda","Animalia","Aricia","Insecta",98,FALSE,"ACCEPTED","Lycaenidae","Aricia morronensis","Aricia morronensis","http://creativecommons.org/publicdomain/zero/1.0/","INBO","http://www.inbo.be/en/norms-for-data-use","Butterfly Species List Europe","present","EN","DOI","Animalia","Artropoda","Insecta","1933163:ebd8c6dc2d2bb42e0391d4385b2da6de"
7977706,"Aricia nicias (Meigen, 1830)","SPECIES","Lepidoptera","EXACT","Arthropoda","Animalia","Aricia","Insecta",98,FALSE,"ACCEPTED","Lycaenidae","Aricia nicias","Aricia nicias","http://creativecommons.org/publicdomain/zero/1.0/","INBO","http://www.inbo.be/en/norms-for-data-use","Butterfly Species List Europe","present","EN","DOI","Animalia","Artropoda","Insecta","7977706:2cc6bc1831bd7509c0c93a37ae36b576"
7656926,"Artogeia ergane (Geyer, 1828)","SPECIES","Lepidoptera","EXACT","Arthropoda","Animalia","Pieris","Insecta",98,TRUE,"SYNONYM","Pieridae","Artogeia ergane","Pieris ergane","http://creativecommons.org/publicdomain/zero/1.0/","INBO","http://www.inbo.be/en/norms-for-data-use","Butterfly Species List Europe","present","EN","DOI","Animalia","Artropoda","Insecta","7656926:d221ad1234911cf8f77a48026250271c"
1926546,"Azanus jesous (Guerin-Meneville, 1847)","SPECIES","Lepidoptera","EXACT","Arthropoda","Animalia","Azanus","Insecta",98,FALSE,"ACCEPTED","Lycaenidae","Azanus jesous","Azanus jesous","http://creativecommons.org/publicdomain/zero/1.0/","INBO","http://www.inbo.be/en/norms-for-data-use","Butterfly Species List Europe","present","EN","DOI","Animalia","Artropoda","Insecta","1926546:e3edfa3686adfb0b67b16c2439039d36"
