"usageKey","scientificName","rank","matchType","kingdom","phylum","class","order","family","genus","confidence","synonym","status","SpeciesnameEurope","Family","Subfamily","PhylogeneticOrder","AuthorYear","Genus","Species","EnglishName","RedListCategoryEurope","RedListCategoryEU","HabitatsDirective","SPECstatus","EuropeanEndemic","EUEndemic","Endemic","EdgeOfRange","Comments"
8189761,"Brenthis hecate (Denis & Schiffermuller, 1775)","SPECIES","EXACT","Animalia","Arthropoda","Insecta","Lepidoptera","Nymphalidae","Brenthis",98,FALSE,"ACCEPTED","Brenthis hecate","Nymphalidae","Heliconiinae",258,"([Denis & Schiffermüller], 1775)","Brenthis","hecate","Twin-spot Fritillary","LC","LC",,,,,,,
1902749,"Brenthis ino (Rottemburg, 1775)","SPECIES","EXACT","Animalia","Arthropoda","Insecta","Lepidoptera","Nymphalidae","Brenthis",98,FALSE,"ACCEPTED","Brenthis ino","Nymphalidae","Heliconiinae",259,"(Rottemburg, 1775)","Brenthis","ino","Lesser Marbled Fritillary","LC","LC",,,,,,,
4535529,"Brintesia circe (Fabricius, 1775)","SPECIES","EXACT","Animalia","Arthropoda","Insecta","Lepidoptera","Nymphalidae","Brintesia",98,FALSE,"ACCEPTED","Brintesia circe","Nymphalidae","Satyrinae",396,"(Fabricius, 1775)","Brintesia","circe","Great Banded Grayling","LC","LC",,,,,,,
1932752,"Cacyreus marshalli Butler, 1898","SPECIES","EXACT","Animalia","Arthropoda","Insecta","Lepidoptera","Lycaenidae","Cacyreus",98,FALSE,"ACCEPTED","Cacyreus marshalli","Lycaenidae","Polyommatinae",158,"Butler, 1898","Cacyreus","marshalli","Geranium Bronze","NtA","NtA",,,,,,,
1932393,"Callophrys avis Chapman, 1909","SPECIES","EXACT","Animalia","Arthropoda","Insecta","Lepidoptera","Lycaenidae","Callophrys",98,FALSE,"ACCEPTED","Callophrys avis","Lycaenidae","Theclinae",141,"Chapman, 1909","Callophrys","avis","Chapman's Green Hairstreak","LC","LC",,,,,,,
1932430,"Callophrys chalybeitincta Sovynski, 1905","SPECIES","EXACT","Animalia","Arthropoda","Insecta","Lepidoptera","Lycaenidae","Callophrys",98,FALSE,"ACCEPTED","Callophrys chalybeitincta","Lycaenidae","Theclinae",144,"Sovinsky, 1905","Callophrys","chalybeitincta","Sovinsky's Green Hairstreak","NtA","NtA",,,,,,"EoR",
1932411,"Callophrys rubi (Linnaeus, 1758)","SPECIES","EXACT","Animalia","Arthropoda","Insecta","Lepidoptera","Lycaenidae","Callophrys",98,FALSE,"ACCEPTED","Callophrys rubi","Lycaenidae","Theclinae",143,"(Linnaeus, 1758)","Callophrys","rubi","Green Hairstreak","LC","LC",,,,,,,
1932398,"Callophrys suaveola (Staudinger, 1881)","SPECIES","EXACT","Animalia","Arthropoda","Insecta","Lepidoptera","Lycaenidae","Callophrys",98,FALSE,"ACCEPTED","Callophrys suaveola","Lycaenidae","Theclinae",142,"(Staudinger, 1881)","Callophrys","suaveola","Alpine Green Hairstreak","NtA","NtA",,,,,,"EoR",
8277078,"Carcharodus alceae (Esper, 1780)","SPECIES","EXACT","Animalia","Arthropoda","Insecta","Lepidoptera","Hesperiidae","Carcharodus",98,FALSE,"ACCEPTED","Carcharodus alceae","Hesperiidae","Pyrginae",36,"(Esper, 1780)","Carcharodus","alceae","Mallow Skipper","LC","LC",,,,,,,
4535386,"Carcharodus baeticus (Rambur, 1839)","SPECIES","EXACT","Animalia","Arthropoda","Insecta","Lepidoptera","Hesperiidae","Carcharodus",98,FALSE,"ACCEPTED","Carcharodus baeticus","Hesperiidae","Pyrginae",44,"(Rambur, 1839)","Carcharodus","baeticus","Southern Marbled Skipper","LC","LC",,,"EuropeanEndemic",,,,
1943397,"Carcharodus floccifera (Zeller, 1847)","SPECIES","EXACT","Animalia","Arthropoda","Insecta","Lepidoptera","Hesperiidae","Carcharodus",98,FALSE,"ACCEPTED","Carcharodus floccifera","Hesperiidae","Pyrginae",42,"(Zeller, 1847)","Carcharodus","floccifera","Tufted Marbled Skipper","NT","LC",,"SPEC2",,,,,
8178854,"Carcharodus lavatherae (Esper, 1783)","SPECIES","EXACT","Animalia","Arthropoda","Insecta","Lepidoptera","Hesperiidae","Carcharodus",98,FALSE,"ACCEPTED","Carcharodus lavatherae","Hesperiidae","Pyrginae",40,"(Esper, 1783)","Carcharodus","lavatherae","Marbled Skipper","NT","NT",,"SPEC2",,,,,
1943410,"Carcharodus orientalis Reverdin, 1913","SPECIES","EXACT","Animalia","Arthropoda","Insecta","Lepidoptera","Hesperiidae","Carcharodus",98,FALSE,"ACCEPTED","Carcharodus orientalis","Hesperiidae","Pyrginae",41,"Reverdin, 1913","Carcharodus","orientalis","Oriental Marbled Skipper","LC","LC",,,,,,,
1943388,"Carcharodus stauderi Reverdin, 1913","SPECIES","EXACT","Animalia","Arthropoda","Insecta","Lepidoptera","Hesperiidae","Carcharodus",98,FALSE,"ACCEPTED","Carcharodus stauderi","Hesperiidae","Pyrginae",43,"Reverdin, 1913","Carcharodus","stauderi","False Marbled Skipper","NtA","NtA",,,,,,"EoR",
1943421,"Carcharodus tripolina (Verity, 1925)","SPECIES","FUZZY","Animalia","Arthropoda","Insecta","Lepidoptera","Hesperiidae","Carcharodus",96,FALSE,"ACCEPTED","Carcharodus tripolinus","Hesperiidae","Pyrginae",35,"(Verity, 1925)","Carcharodus","tripolinus","False Mallow Skipper","LC","LC",,,,,,,
