"usageKey","scientificName","rank","scientificNameLocal","scientificNameEU","CountryCode","threatStatus","Endemic","occurrenceStatus","taxonID"
5141291,"Zerynthia cerisy (Godart, 1824)","SPECIES","Allancastria cerisyi","Zerynthia cerisy","RO","No Red List available","","present","5141291:e8f3c68524c45cefffdb125a7a1ead9d"
5141288,"Zerynthia cretica (Rebel, 1904)","SPECIES","Allancastria cretica","Zerynthia cretica","GR","NT","Endemic (Greece - Crete)","present","5141288:9b6f2f4e021a4f605a0366962c084aea"
1919712,"Anthocharis cardamines (Linnaeus, 1758)","SPECIES","Anthocaris cardamines","Anthocharis cardamines","PT","No Red List available","","present","1919712:878ef8646c49dbfc9612a1856fabc204"
1919698,"Anthocharis euphenoides Staudinger, 1869","SPECIES","Anthocaris euphenoides","Anthocharis euphenoides","PT","No Red List available","","present","1919698:7e62970171d5bbc77314430e0be2a3ea"
1919698,"Anthocharis euphenoides Staudinger, 1869","SPECIES","Anthocharis belia","Anthocharis euphenoides","ES","Unknown","","present","1919698:7e62970171d5bbc77314430e0be2a3ea"
1919712,"Anthocharis cardamines (Linnaeus, 1758)","SPECIES","Anthocharis cardamines","Anthocharis cardamines","AD","LC","","present","1919712:878ef8646c49dbfc9612a1856fabc204"
1919712,"Anthocharis cardamines (Linnaeus, 1758)","SPECIES","Anthocharis cardamines","Anthocharis cardamines","AL","Unknown","","present","1919712:878ef8646c49dbfc9612a1856fabc204"
1919712,"Anthocharis cardamines (Linnaeus, 1758)","SPECIES","Anthocharis cardamines","Anthocharis cardamines","AT","LC","","present","1919712:878ef8646c49dbfc9612a1856fabc204"
1919712,"Anthocharis cardamines (Linnaeus, 1758)","SPECIES","Anthocharis cardamines","Anthocharis cardamines","BA","LC","","present","1919712:878ef8646c49dbfc9612a1856fabc204"
1919712,"Anthocharis cardamines (Linnaeus, 1758)","SPECIES","Anthocharis cardamines","Anthocharis cardamines","BE","LC","","present","1919712:878ef8646c49dbfc9612a1856fabc204"
1919712,"Anthocharis cardamines (Linnaeus, 1758)","SPECIES","Anthocharis cardamines","Anthocharis cardamines","BG","LC","","present","1919712:878ef8646c49dbfc9612a1856fabc204"
1919712,"Anthocharis cardamines (Linnaeus, 1758)","SPECIES","Anthocharis cardamines","Anthocharis cardamines","BY","Unknown","","present","1919712:878ef8646c49dbfc9612a1856fabc204"
1919712,"Anthocharis cardamines (Linnaeus, 1758)","SPECIES","Anthocharis cardamines","Anthocharis cardamines","CH","LC","","present","1919712:878ef8646c49dbfc9612a1856fabc204"
1919712,"Anthocharis cardamines (Linnaeus, 1758)","SPECIES","Anthocharis cardamines","Anthocharis cardamines","CY","No Red List available","","present","1919712:878ef8646c49dbfc9612a1856fabc204"
1919712,"Anthocharis cardamines (Linnaeus, 1758)","SPECIES","Anthocharis cardamines","Anthocharis cardamines","CZ","LC","","present","1919712:878ef8646c49dbfc9612a1856fabc204"
1919712,"Anthocharis cardamines (Linnaeus, 1758)","SPECIES","Anthocharis cardamines","Anthocharis cardamines","DE","LC","","present","1919712:878ef8646c49dbfc9612a1856fabc204"
1919712,"Anthocharis cardamines (Linnaeus, 1758)","SPECIES","Anthocharis cardamines","Anthocharis cardamines","DK","LC","","present","1919712:878ef8646c49dbfc9612a1856fabc204"
1919712,"Anthocharis cardamines (Linnaeus, 1758)","SPECIES","Anthocharis cardamines","Anthocharis cardamines","EE","No Red List available","","present","1919712:878ef8646c49dbfc9612a1856fabc204"
1919712,"Anthocharis cardamines (Linnaeus, 1758)","SPECIES","Anthocharis cardamines","Anthocharis cardamines","ES","Unknown","","present","1919712:878ef8646c49dbfc9612a1856fabc204"
1919712,"Anthocharis cardamines (Linnaeus, 1758)","SPECIES","Anthocharis cardamines","Anthocharis cardamines","FI","LC","","present","1919712:878ef8646c49dbfc9612a1856fabc204"
