SpeciesnameEurope,SpeciesnameLocal,CountryCode,RedListCategory,Status
Aricia agestis,Aricia agestis,BG,LC,P
Aricia agestis,Aricia agestis,BY,Unknown,P
Aricia agestis,Aricia agestis,CH,LC,P
Aricia agestis,Aricia agestis,CY,No Red List available,P
Aricia agestis,Aricia agestis,CZ,NE,P
Aricia agestis,Aricia agestis,DE,LC,P
Aricia agestis,Aricia agestis,DK,LC,P
Aricia agestis,Aricia agestis,ES,NE,P
Aricia agestis,Aricia agestis,FR,LC,P
Aricia agestis,Aricia agestis,GB,LC,P
Aricia agestis,Aricia agestis,GR,LC,P
Aricia agestis,Aricia agestis,HR,LC,P
Aricia agestis,Aricia agestis,HU,LC,P
Aricia agestis,Aricia agestis,IT,LC,P
Aricia agestis,Aricia agestis,LT,LC,P
Aricia agestis,Aricia agestis,LU,LC,P
Aricia agestis,Aricia agestis,MD,No Red List available,P
Aricia agestis,Aricia agestis,ME,No Red List available,P
Aricia agestis,Aricia agestis,MK,Unknown,P
Aricia agestis,Aricia agestis,MT,No Red List available,P
Aricia agestis,Aricia agestis,NL,NT,P
Aricia agestis,Aricia agestis,PL,LC,P
Aricia agestis,Aricia agestis,RO,LC,P
Aricia agestis,Aricia agestis,RS,LC,P
Aricia agestis,Aricia agestis,RU,No Red List available,P
Aricia agestis,Aricia agestis,SE,LC,P
Aricia agestis,Aricia agestis,SI,LC,P
Aricia agestis,Aricia agestis,SK,LC,P
Aricia agestis,Aricia agestis,UA,LC,P
Aricia anteros,Aricia anteros,AL,Unknown,P
Aricia anteros,Aricia anteros,BA,EN,P
Aricia anteros,Aricia anteros,BG,LC,P
Aricia anteros,Aricia anteros,GR,LC,P
Aricia anteros,Aricia anteros,HR,LC,P
Aricia anteros,Aricia anteros,ME,No Red List available,P
Aricia anteros,Aricia anteros,MK,Unknown,P
Aricia anteros,Aricia anteros,RO,RE,Ex
Aricia anteros,Aricia anteros,RS,LC,P
Aricia anteros,Aricia anteros,UA,CR,P
Aricia artaxerxes,Aricia artaxerxes,AL,Unknown,P
Aricia artaxerxes,Aricia artaxerxes,AT,NT,P
Aricia artaxerxes,Aricia artaxerxes,BA,LC,P
Aricia artaxerxes,Aricia artaxerxes,BG,LC,P
