"SpeciesnameEurope","Family","Subfamily","PhylogeneticOrder","AuthorYear","Genus","Species","EnglishName","RedListCategoryEurope","RedListCategoryEU","HabitatsDirective","SPECstatus","EuropeanEndemic","EUEndemic","Endemic","EdgeOfRange","Comments"
"Erebia claudina","Nymphalidae","Satyrinae",450,"(Borkhausen, 1789)","Erebia","claudina","White-speck Ringlet","NT","NT",,"SPEC2","EuropeanEndemic","EUEndemic",,,
"Erebia cyclopius","Nymphalidae","Satyrinae",444,"(Eversmann, 1844)","Erebia","cyclopius","suggestion: One-eyed Ringlet","NtA","NtA",,,,,,"EoR",
"Erebia dabanensis","Nymphalidae","Satyrinae",448,"Erschoff, 1872","Erebia","dabanensis","Four-dotted Alpine","NtA","NtA",,,,,,"EoR",
"Erebia disa","Nymphalidae","Satyrinae",446,"(Thunberg, 1791)","Erebia","disa","Arctic Ringlet","LC","LC",,,,,,,
"Erebia discoidalis","Nymphalidae","Satyrinae",442,"(Kirby, 1837)","Erebia","discoidalis","Red-disked Alpine","LC","NE",,,,,,,
"Erebia edda","Nymphalidae","Satyrinae",440,"Ménétriés, 1851","Erebia","edda","suggestion: XX Ringlet","NtA","NtA",,,,,,"EoR",
"Erebia embla","Nymphalidae","Satyrinae",445,"(Thunberg, 1791)","Erebia","embla","Lapland Ringlet","LC","LC",,"SPEC3",,,,,
"Erebia epiphron","Nymphalidae","Satyrinae",486,"(Knoch, 1783)","Erebia","epiphron","Mountain Ringlet","LC","LC",,,"EuropeanEndemic",,,,
"Erebia epistygne","Nymphalidae","Satyrinae",467,"(Hübner, 1819)","Erebia","epistygne","Spring Ringlet","NT","NT",,"SPEC2","EuropeanEndemic","EUEndemic",,,
"Erebia eriphyle","Nymphalidae","Satyrinae",466,"(Freyer, 1836)","Erebia","eriphyle","Eriphyle Ringlet","LC","LC",,,"EuropeanEndemic",,,,
"Erebia euryale","Nymphalidae","Satyrinae",468,"(Esper, 1805)","Erebia","euryale","Large Ringlet","LC","LC",,,,,,,
"Erebia fasciata","Nymphalidae","Satyrinae",441,"Butler, 1868","Erebia","fasciata","Banded Alpine","NtA","NtA",,,,,,"EoR",
"Erebia flavofasciata","Nymphalidae","Satyrinae",487,"Heyne, 1895","Erebia","flavofasciata","Yellow-banded Ringlet","NT","NT",,"SPEC2","EuropeanEndemic",,,,
"Erebia gorge","Nymphalidae","Satyrinae",463,"(Hübner, 1804)","Erebia","gorge","Silky Ringlet","LC","LC",,,"EuropeanEndemic",,,,
"Erebia gorgone","Nymphalidae","Satyrinae",473,"Boisduval, 1833","Erebia","gorgone","Gavarnie Ringlet","LC","LC",,,"EuropeanEndemic",,,,
"Erebia hispania","Nymphalidae","Satyrinae",453,"Butler, 1868","Erebia","hispania","Spanish Brassy Ringlet","LC","LC",,,"EuropeanEndemic",,,,
"Erebia jeniseiensis","Nymphalidae","Satyrinae",449,"Trybom, 1877","Erebia","jeniseiensis","suggestion: XX Ringlet","NtA","NtA",,,,,,"EoR",
"Erebia lefebvrei","Nymphalidae","Satyrinae",494,"(Boisduval, 1828)","Erebia","lefebvrei","Lefèbvre's Ringlet","LC","LC",,,"EuropeanEndemic",,,,
"Erebia ligea","Nymphalidae","Satyrinae",470,"(Linnaeus, 1758)","Erebia","ligea","Arran Brown","LC","LC",,,,,,,
"Erebia manto","Nymphalidae","Satyrinae",451,"([Denis & Schiffermüller], 1775)","Erebia","manto","Yellow-spotted Ringlet","LC","LC",,"SPEC3","EuropeanEndemic",,,,
"Erebia medusa","Nymphalidae","Satyrinae",481,"([Denis & Schiffermüller], 1775)","Erebia","medusa","Woodland Ringlet","LC","LC",,,,,,,
"Erebia melampus","Nymphalidae","Satyrinae",478,"(Fuessly, 1775)","Erebia","melampus","Lesser Mountain Ringlet","LC","LC",,,"EuropeanEndemic",,,,
"Erebia melas","Nymphalidae","Satyrinae",493,"(Herbst, 1796)","Erebia","melas","Black Ringlet","LC","LC",,,"EuropeanEndemic",,,,
"Erebia meolans","Nymphalidae","Satyrinae",447,"(de Prunner, 1798)","Erebia","meolans","Piedmont Ringlet","LC","LC",,,"EuropeanEndemic",,,,
"Erebia mnestra","Nymphalidae","Satyrinae",475,"(Hübner, 1804)","Erebia","mnestra","Mnestra's Ringlet","LC","LC",,,"EuropeanEndemic",,,,
"Erebia montana","Nymphalidae","Satyrinae",488,"(de Prunner, 1798)","Erebia","montana","Marbled Ringlet","LC","LC",,,"EuropeanEndemic",,,,
"Erebia neleus","Nymphalidae","Satyrinae",459,"(Freyer, 1832)","Erebia","neleus","suggestion: XX Ringlet",,,,,"EuropeanEndemic","EUEndemic",,,
"Erebia neoridas","Nymphalidae","Satyrinae",496,"(Boisduval, 1828)","Erebia","neoridas","Autumn Ringlet","LC","LC",,,"EuropeanEndemic",,,,
"Erebia nivalis","Nymphalidae","Satyrinae",458,"Lorkovic & Lesse, 1954","Erebia","nivalis","De Lesse's Brassy Ringlet","LC","LC",,,"EuropeanEndemic",,,,
"Erebia oeme","Nymphalidae","Satyrinae",462,"(Hübner, 1804)","Erebia","oeme","Bright-eyed Ringlet","LC","LC",,,"EuropeanEndemic",,,,
"Erebia orientalis","Nymphalidae","Satyrinae",485,"Elwes, 1900","Erebia","orientalis","Bulgarian Ringlet","LC","LC",,,"EuropeanEndemic",,,,
"Erebia ottomana","Nymphalidae","Satyrinae",452,"Herrich-Schäffer, 1847","Erebia","ottomana","Ottoman Brassy Ringlet","LC","LC",,,,,,,
"Erebia palarica","Nymphalidae","Satyrinae",469,"Chapman, 1905","Erebia","palarica","Chapman's Ringlet","LC","LC",,,"EuropeanEndemic","EUEndemic","Spain",,
"Erebia pandrose","Nymphalidae","Satyrinae",465,"(Borkhausen, 1788)","Erebia","pandrose","Dewy Ringlet","LC","LC",,,,,,,
"Erebia pharte","Nymphalidae","Satyrinae",483,"(Hübner, 1804)","Erebia","pharte","Blind Ringlet","LC","LC",,,"EuropeanEndemic",,,,
"Erebia pluto","Nymphalidae","Satyrinae",471,"(de Prunner, 1798)","Erebia","pluto","Sooty Ringlet","LC","LC",,,"EuropeanEndemic",,,,
"Erebia polaris","Nymphalidae","Satyrinae",480,"Staudinger, 1861","Erebia","polaris","Arctic Woodland Ringlet","LC","LC","II",,,,,,
"Erebia pronoe","Nymphalidae","Satyrinae",492,"(Esper, 1780)","Erebia","pronoe","Water Ringlet","LC","LC",,,"EuropeanEndemic",,,,
"Erebia rhodopensis","Nymphalidae","Satyrinae",474,"Nicholl, 1900","Erebia","rhodopensis","Nicholl's Ringlet","LC","LC",,,"EuropeanEndemic",,,,
"Erebia rondoui","Nymphalidae","Satyrinae",454,"Oberthür, 1908","Erebia","rondoui","Pyrenees Brassy Ringlet","LC","LC",,,"EuropeanEndemic","EUEndemic",,,
"Erebia rossii","Nymphalidae","Satyrinae",443,"(Curtis, 1835)","Erebia","rossii","Arctic Alpine Ringlet","NtA","NtA",,,,,,,
"Erebia scipio","Nymphalidae","Satyrinae",491,"Boisduval, 1833","Erebia","scipio","Larche Ringlet","LC","LC",,,"EuropeanEndemic","EUEndemic",,,
"Erebia sthennyo","Nymphalidae","Satyrinae",464,"Graslin, 1850","Erebia","sthennyo","False Dewy Ringlet","LC","LC",,,"EuropeanEndemic","EUEndemic",,,
"Erebia stiria","Nymphalidae","Satyrinae",490,"(Godart, 1824)","Erebia","stiria","Styrian Ringlet","LC","LC",,,"EuropeanEndemic",,,,
"Erebia styx","Nymphalidae","Satyrinae",489,"(Freyer, 1834)","Erebia","styx","Stygian Ringlet","LC","LC",,,"EuropeanEndemic",,,,
