"taxonID","locality","countryCode","threatStatus","establishmentMeans","source"
"red-lists-european-butterflies-checklist:taxon:7a4ba52084fdeba5e21a31f5308c8cd7","Lithuania","LT","LC","Breeding","Rašomavicius (2007)"
"red-lists-european-butterflies-checklist:taxon:7a4ba52084fdeba5e21a31f5308c8cd7","Norway","NO","LC","Breeding","Henriksen & Hilmo (2015)"
"red-lists-european-butterflies-checklist:taxon:7a4ba52084fdeba5e21a31f5308c8cd7","Poland","PL","LC","Breeding","Glowaciñski (2002); Sielezniew (pers. Comm)"
"red-lists-european-butterflies-checklist:taxon:7a4ba52084fdeba5e21a31f5308c8cd7","Sweden","SE","LC","Breeding","Ahrné et al. (2015)"
"red-lists-european-butterflies-checklist:taxon:7a4ba52084fdeba5e21a31f5308c8cd7","Slovenia","SI","LC","Breeding","Anonymous (2002); Verovnik et al. (2012)"
"red-lists-european-butterflies-checklist:taxon:7a4ba52084fdeba5e21a31f5308c8cd7","Slovakia","SK","LC","Breeding","Hernik Kalivoda (pers. comm.)"
"red-lists-european-butterflies-checklist:taxon:7a4ba52084fdeba5e21a31f5308c8cd7","Czech Republic","CZ","NE","Breeding","Beneš and Konvicka (2017)"
"red-lists-european-butterflies-checklist:taxon:7a4ba52084fdeba5e21a31f5308c8cd7","Spain","ES","NE","Breeding","Verdú & Galante (2009); Verdú et al. (2011)"
"red-lists-european-butterflies-checklist:taxon:7a4ba52084fdeba5e21a31f5308c8cd7","Liechtenstein","LI","No Red List available","Breeding",
"red-lists-european-butterflies-checklist:taxon:7a4ba52084fdeba5e21a31f5308c8cd7","Latvia","LV","No Red List available","Breeding",
"red-lists-european-butterflies-checklist:taxon:7a4ba52084fdeba5e21a31f5308c8cd7","Moldova","MD","No Red List available","Breeding",
"red-lists-european-butterflies-checklist:taxon:7a4ba52084fdeba5e21a31f5308c8cd7","Montenegro","ME","No Red List available","Breeding",
"red-lists-european-butterflies-checklist:taxon:7a4ba52084fdeba5e21a31f5308c8cd7","Portugal","PT","No Red List available","Breeding",
"red-lists-european-butterflies-checklist:taxon:7a4ba52084fdeba5e21a31f5308c8cd7","Russia","RU","No Red List available","Breeding","Iliashenko & Iliashenko (2000); Danilov-Danilian (2001)"
"red-lists-european-butterflies-checklist:taxon:7a4ba52084fdeba5e21a31f5308c8cd7","Bosnia and Herzegovina","BA","NT","Breeding","Ðug (2013)"
"red-lists-european-butterflies-checklist:taxon:7a4ba52084fdeba5e21a31f5308c8cd7","Germany","DE","NT","Breeding","Reinhardt & Bolz (2011)"
"red-lists-european-butterflies-checklist:taxon:7a4ba52084fdeba5e21a31f5308c8cd7","Hungary","HU","NT","Breeding","Ádám Korösi & Ádám Gór (pers. comm.)"
"red-lists-european-butterflies-checklist:taxon:7a4ba52084fdeba5e21a31f5308c8cd7","Ukraine","UA","NT","Breeding","Popov & Geryak (pers. comm.)"
"red-lists-european-butterflies-checklist:taxon:7a4ba52084fdeba5e21a31f5308c8cd7","Netherlands","NL","RE","Breeding","Bos et al. (2006)"
"red-lists-european-butterflies-checklist:taxon:7a4ba52084fdeba5e21a31f5308c8cd7","Belarus","BY","Unknown","Breeding","Kulak & Yakovlev (2018)"
"red-lists-european-butterflies-checklist:taxon:7a4ba52084fdeba5e21a31f5308c8cd7","Macedonia","MK","Unknown","RegularMigrant","Krpac & Darcemont (2011)"
"red-lists-european-butterflies-checklist:taxon:7a4ba52084fdeba5e21a31f5308c8cd7","Switzerland","CH","VU","Breeding","Wermeille et al. (2014)"
"red-lists-european-butterflies-checklist:taxon:7a4ba52084fdeba5e21a31f5308c8cd7","Romania","RO","VU","Breeding","Rakosy (2002)"
"red-lists-european-butterflies-checklist:taxon:7a4ba52084fdeba5e21a31f5308c8cd7","Serbia","RS","LC","Breeding","Jakšic (2003); Popovic et al. (2017)"
"red-lists-european-butterflies-checklist:taxon:7a4ba52084fdeba5e21a31f5308c8cd7","Albania","AL","VU","Breeding","Anonymous (2013)"
"red-lists-european-butterflies-checklist:taxon:7aec0491c59ecd8183cde3edfac30b10","Greece","GR","NT","Breeding","Pamperis (2009); Legakis and Maragou (2009)"
"red-lists-european-butterflies-checklist:taxon:7bb937c96980fa242a8b13023a769612","Bosnia and Herzegovina","BA","CR","Breeding","Ðug (2013)"
"red-lists-european-butterflies-checklist:taxon:7bb937c96980fa242a8b13023a769612","Hungary","HU","CR","Breeding","Ádám Korösi & Ádám Gór (pers. comm.)"
"red-lists-european-butterflies-checklist:taxon:7bb937c96980fa242a8b13023a769612","Ukraine","UA","DD","Breeding","Popov & Geryak (pers. comm.)"
