"SpeciesnameLocal";"SpeciesnameEurope";"CountryCode";"RedListCategory";"Endemic"
"Arethusana arethusa";"Arethusana arethusa";"FR";"LC";
"Arethusana arethusa";"Arethusana arethusa";"GR";"LC";
"Arethusana arethusa";"Arethusana arethusa";"HR";"LC";
"Arethusana arethusa";"Arethusana arethusa";"HU";"LC";
"Arethusana arethusa";"Arethusana arethusa";"IT";"LC";
"Arethusana arethusa";"Arethusana arethusa";"MD";"No Red List available";
"Arethusana arethusa";"Arethusana arethusa";"ME";"No Red List available";
"Arethusana arethusa";"Arethusana arethusa";"MK";"Unknown";
"Arethusana arethusa";"Arethusana arethusa";"PT";"No Red List available";
"Arethusana arethusa";"Arethusana arethusa";"RO";"No Red List available";
"Arethusana arethusa";"Arethusana arethusa";"RS";"NT";
"Arethusana arethusa";"Arethusana arethusa";"RU";"No Red List available";
"Arethusana arethusa";"Arethusana arethusa";"SI";"LC";
"Arethusana arethusa";"Arethusana arethusa";"SK";"LC";
"Arethusana arethusa";"Arethusana arethusa";"UA";"No Red List available";
"Arethusana boabdil";"Arethusana arethusa";"ES";"Unknown";
"Argynnis adippe";"Argynnis adippe";"AD";"LC";
"Argynnis adippe";"Argynnis adippe";"AL";"Unknown";
"Argynnis adippe";"Argynnis adippe";"AT";"NT";
"Argynnis adippe";"Argynnis adippe";"BA";"LC";
"Argynnis adippe";"Argynnis adippe";"BE";"VU";
"Argynnis adippe";"Argynnis adippe";"BG";"LC";
"Argynnis adippe";"Argynnis adippe";"BY";"Unknown";
"Argynnis adippe";"Argynnis adippe";"CH";"LC";
"Argynnis adippe";"Argynnis adippe";"CZ";"VU";
"Argynnis adippe";"Argynnis adippe";"DE";"VU";
"Argynnis adippe";"Argynnis adippe";"DK";"EN";
"Argynnis adippe";"Argynnis adippe";"EE";"No Red List available";
"Argynnis adippe";"Argynnis adippe";"ES";"Unknown";
"Argynnis adippe";"Argynnis adippe";"FI";"LC";
"Argynnis adippe";"Argynnis adippe";"FR";"LC";
"Argynnis adippe";"Argynnis adippe";"GB";"CR";
"Argynnis adippe";"Argynnis adippe";"GR";"LC";
"Argynnis adippe";"Argynnis adippe";"HR";"LC";
"Argynnis adippe";"Argynnis adippe";"HU";"LC";
"Argynnis adippe";"Argynnis adippe";"IT";"LC";
"Argynnis adippe";"Argynnis adippe";"LT";"Unknown";
"Argynnis adippe";"Argynnis adippe";"LU";"EN";
"Argynnis adippe";"Argynnis adippe";"LV";"No Red List available";
"Argynnis adippe";"Argynnis adippe";"MD";"No Red List available";
"Argynnis adippe";"Argynnis adippe";"ME";"No Red List available";
"Argynnis adippe";"Argynnis adippe";"MK";"Unknown";
"Argynnis adippe";"Argynnis adippe";"NO";"LC";
"Argynnis adippe";"Argynnis adippe";"PL";"LC";
"Argynnis adippe";"Argynnis adippe";"PT";"No Red List available";
"Argynnis adippe";"Argynnis adippe";"RO";"No Red List available";
"Argynnis adippe";"Argynnis adippe";"RS";"VU";
"Argynnis adippe";"Argynnis adippe";"RU";"No Red List available";
"Argynnis adippe";"Argynnis adippe";"SE";"LC";
"Argynnis adippe";"Argynnis adippe";"SI";"LC";
"Argynnis adippe";"Argynnis adippe";"SK";"LC";
"Argynnis adippe";"Argynnis adippe";"UA";"No Red List available";
"Argynnis aglaja";"Argynnis aglaja";"AD";"LC";
"Argynnis aglaja";"Argynnis aglaja";"AL";"Unknown";
"Argynnis aglaja";"Argynnis aglaja";"AT";"LC";
"Argynnis aglaja";"Argynnis aglaja";"BA";"LC";
"Argynnis aglaja";"Argynnis aglaja";"BE";"EN";
"Argynnis aglaja";"Argynnis aglaja";"BG";"LC";
"Argynnis aglaja";"Argynnis aglaja";"BY";"Unknown";
"Argynnis aglaja";"Argynnis aglaja";"CH";"LC";
"Argynnis aglaja";"Argynnis aglaja";"CZ";"LC";
"Argynnis aglaja";"Argynnis aglaja";"DE";"NT";
"Argynnis aglaja";"Argynnis aglaja";"DK";"EN";
"Argynnis aglaja";"Argynnis aglaja";"EE";"No Red List available";
"Argynnis aglaja";"Argynnis aglaja";"ES";"Unknown";
"Argynnis aglaja";"Argynnis aglaja";"FI";"LC";
"Argynnis aglaja";"Argynnis aglaja";"FR";"LC";
"Argynnis aglaja";"Argynnis aglaja";"GB";"LC";
